id,name,feed_site,region,day,time,attendance_option,url,conference_url,conference_url_notes,conference_phone,entity_email,feedback_emails,data_source_name,source_slug
3503,Just For Today CPT - Online,region,Western Cape,0,18:00,online,https://na.org.za/blog/meetings/just-for-today-2-2/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online Meeting Password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,just-for-today-2-2
3427,Just For Today CPT - Online,region,Western Cape,1,18:00,online,https://na.org.za/blog/meetings/just-for-today-2/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online Meeting Password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,just-for-today-2
3445,Just For Today CPT - Online,region,Western Cape,2,18:00,online,https://na.org.za/blog/meetings/green-point-topic-meeting-share/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online meeting password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,green-point-topic-meeting-share
3454,Just For Today CPT - Online,region,Western Cape,3,18:00,online,https://na.org.za/blog/meetings/just-for-today-3/,https://zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ,Online meeting password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,just-for-today-3
3466,Just For Today CPT - Online,region,Western Cape,4,18:00,online,https://na.org.za/blog/meetings/greenpoint/,https://zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ,Online meeting password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,greenpoint
3482,Just For Today CPT - Online,region,Western Cape,5,18:00,online,https://na.org.za/blog/meetings/green-point-just-for-today/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online meeting password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,green-point-just-for-today
3494,Just For Today CPT - Online,region,Western Cape,6,18:00,online,https://na.org.za/blog/meetings/green-point-topic-meeting-share-2/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online meeting password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,green-point-topic-meeting-share-2
3917,LGBTQIA - Monday - 19:00 - Online,region,Johannesburg,1,19:00,online,https://na.org.za/blog/meetings/lgbtqia-monday-1900-online/,https://us02web.zoom.us/j/93246688522?pwd=12345,Meeting ID: 932 4668 8522 Meeting Passcode: 12345,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Johannesburg,lgbtqia-monday-1900-online
3623,Monday Rietvlei Meeting,region,Pretoria,1,19:00,online,https://na.org.za/blog/meetings/monday-rietvlei-meeting-open/,,,0760232574,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Pretoria,monday-rietvlei-meeting-open
5785,Monday Rietvlei Meeting,pretoria,Mabeskraal,1,19:00,online,https://na.org.za/pta/meetings/monday-rietvlei-meeting-open/,,,0760232574,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4413,Outreach - Saturday - 00:00 - Online,region,Johannesburg,6,23:59,online,https://na.org.za/blog/meetings/outreach-12-past-midnight-meeting-2/,https://zoom.us/j/85368480510?pwd=dFFmZEZtY3dwSUhBYTVHR0h3TUlaUT09,Zoom Meeting ID: 85368480510 Password: 1953,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Johannesburg,outreach-12-past-midnight-meeting-2
4412,Page by Page Online,region,Western Cape,4,20:00,online,https://na.org.za/blog/meetings/page-by-page/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,Online Meeting Password: JFT,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,page-by-page
3489,Pink Cloud,region,Western Cape,6,09:30,online,https://na.org.za/blog/meetings/pink-cloud-2/,https://zoom.us/j/96620513621,Online Meeting Password: Pink NA1,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,pink-cloud-2
3951,Rosettenville - Monday - 19:30 - Online,region,Johannesburg,1,19:30,online,https://na.org.za/blog/meetings/rosettenville-na-2/,https://us06web.zoom.us/j/5722138252?pwd=SGVCT3lMcVVaeWdBbEJOSXFOU1dRUT09,Zoom Meeting ID: 572 213 8252 Password: 1953,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Johannesburg,rosettenville-na
4365,Saturday Night Owl-12 past 11,region,Johannesburg,6,23:00,online,https://na.org.za/blog/meetings/midnight-meeting/,https://us02web.zoom.us/j/85368480510?pwd=dFFmZEZtY3dwSUhBYTVHR0h3TUlaUT09,Online meeting password: 1953,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
3579,Scottsville Saturday Online,region,Kwazulu-Natal,6,08:30,online,https://na.org.za/blog/meetings/scottsville-saturday-online/,http://usp04web.zoom.us/j/83101461477,,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],KZN,scottsville-saturday-online
4346,Serenity@Sunrise,region,Johannesburg,0,06:00,online,https://na.org.za/blog/meetings/serenitysunrise-6/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4340,Serenity@Sunrise,region,Johannesburg,1,06:00,online,https://na.org.za/blog/meetings/serenitysunrise1/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4341,Serenity@Sunrise,region,Johannesburg,2,06:00,online,https://na.org.za/blog/meetings/serenitysunrise/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4342,Serenity@Sunrise,region,Johannesburg,3,06:00,online,https://na.org.za/blog/meetings/serenitysunrise-2/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4343,Serenity@Sunrise,region,Johannesburg,4,06:00,online,https://na.org.za/blog/meetings/serenitysunrise-3/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4344,Serenity@Sunrise,region,Johannesburg,5,06:00,online,https://na.org.za/blog/meetings/serenitysunrise-4/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4345,Serenity@Sunrise,region,Johannesburg,6,06:00,online,https://na.org.za/blog/meetings/serenitysunrise-5/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4364,Spiritual Principles,region,Johannesburg,0,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-7/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4358,Spiritual Principles,region,Johannesburg,1,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-2/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4359,Spiritual Principles,region,Johannesburg,2,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-3/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4360,Spiritual Principles,region,Johannesburg,3,19:00,online,https://na.org.za/blog/meetings/johannesburg-wednesday-700-pm/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4361,Spiritual Principles,region,Johannesburg,4,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-4/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4362,Spiritual Principles,region,Johannesburg,5,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-5/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4363,Spiritual Principles,region,Johannesburg,6,19:00,online,https://na.org.za/blog/meetings/spiritual-principles-6/,https://us06web.zoom.us/j/7387995735,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
3697,THE UNTOLD STORIES OF OUR NA MEMBERS,region,Pretoria,0,17:00,online,https://na.org.za/blog/meetings/the-untold-stories-of-na-members-online/,https://us06web.zoom.us/j/2407108738?pwd=aLV5ttGw1UmHWA8UsmCYukjC5bKz0r.1,I.D: 2407108738 Passcode: TUSONAM,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Pretoria,the-untold-stories-of-na-members-online
4367,Virtual Online Group (VOG),region,Johannesburg,0,19:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-6/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4349,Virtual Online Group (VOG),region,Johannesburg,1,17:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4352,Virtual Online Group (VOG),region,Johannesburg,2,17:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-2/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4353,Virtual Online Group (VOG),region,Johannesburg,3,17:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-3/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4354,Virtual Online Group (VOG),region,Johannesburg,4,17:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-4/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4366,Virtual Online Group (VOG),region,Johannesburg,5,19:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-7/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4356,Virtual Online Group (VOG),region,Johannesburg,6,17:00,online,https://na.org.za/blog/meetings/virtual-online-group-vog-5/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
