menu_title,legacy_target,source_exports,final_destination,decision,rationale
,4867,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,740,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,760,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,767,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,772,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,785,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,795,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,808,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,817,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,871,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8734,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,874,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8755,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8757,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8759,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8761,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,8763,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,877,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,880,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,886,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,889,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,892,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,9,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
About NA,#,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,organisation and history content consolidates in About NA
Add Event,4598,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/news,final-route,news and event content consolidates in the reviewed notices section
Area Service,#,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Areas,#,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Contact NA,778,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/contact,final-route,contact and support content consolidates in the national contact page
Contact NA,868,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/contact,final-route,contact and support content consolidates in the national contact page
Daily Meditation,https://www.jftna.org/jft/,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
Events,#,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml | narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/news,final-route,news and event content consolidates in the reviewed notices section
Events,https://na.org.za/wc/events/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
For Members,#,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
For Our Members,#,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
For Service Members,4673,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
For The New Comer,4803,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
For The Newcomer,4803,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/recovery,final-route,recovery and newcomer guidance consolidates in the recovery section
For The Professionals,#,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
For The Public,#,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
Group &amp; Service Downloads,4875,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/literature,final-route,resource and literature content consolidates in the rebuilt library
Home,https://na.org.za/jhb/,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Home,https://na.org.za/pta/,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Information for The Professionals,4836,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
Johannesburg,/jhb/,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/areas,final-route,area navigation uses the rebuilt national area directory
KwaZulu-Natal,/kzn,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/areas,final-route,area navigation uses the rebuilt national area directory
Literature Shop,http://wc.shop.na.org.za/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/literature,final-route,resource and literature content consolidates in the rebuilt library
Media Packs &#038; Announcements,5457,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/news,final-route,news and event content consolidates in the reviewed notices section
Meeting Preambles,https://na.org.za/wc/preambles/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/recovery,final-route,recovery and newcomer guidance consolidates in the recovery section
Meetings,#,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml | narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/recovery,final-route,recovery and newcomer guidance consolidates in the recovery section
Meetings PDF Download,https://na.org.za/wp-content/uploads/na-western-cape-meeting-list.pdf,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/literature,final-route,resource and literature content consolidates in the rebuilt library
NA Africa,https://naafrica.org/meetings/,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/meetings,final-route,"meeting/location URLs use the structured finder with filters, map pins, and directions"
NA South Africa,http://na.org.za/,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
NA South Africa Survey 2020,https://www.na.org.za/surveys/Narcotics_Anonymous_Survey2020_final_.pdf,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general public information consolidates in About NA pending page-level editorial expansion
NA WC Survey 2018,https://www.na.org/admin/include/spaw2/uploads/pdf/pr/2301_MS_2018.pdf,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
NA World Services,https://na.org/,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
Online Shop,http://wc.shop.na.org.za/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Online Shop,https://wc.shop.na.org.za/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/areas,final-route,regional information consolidates in the area directory
Pretoria,/pta/,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/areas,final-route,area navigation uses the rebuilt national area directory
Resources,#,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml | narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml | narcoticsanonymouspretoria.WordPress.2026-08-16.xml | narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/literature,final-route,resource and literature content consolidates in the rebuilt library
Resources For Professionals,https://na.org/resources-for-professionals/,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/literature,final-route,resource and literature content consolidates in the rebuilt library
Western Cape,/wc/,narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/areas,final-route,area navigation uses the rebuilt national area directory
Western Cape ASC,#,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
What is NA and how can we help?,864,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
Worldwide Events,https://na.org/naws-events/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/news,final-route,news and event content consolidates in the reviewed notices section
Worldwide Meetings,https://na.org/meetingsearch/,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/recovery,final-route,recovery and newcomer guidance consolidates in the recovery section
