sourceRoot,filePath,basename,sizeBytes,sha256,kind,status,duplicateCount,duplicatePaths,note
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (5).csv","meetings (5).csv","15917","c0d708af06358ae544833cc9da28b358ba5dc075b3bdbea64d2cda455f009a42","source-data","implemented-partial","1","/home/ubuntu/upload/meetings(5).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (6).csv","meetings (6).csv","42079","f5e9fe4a7da2ee6baf4139ea08674ebf5f0bc1d794e06ac55c939587f1ded87e","source-data","implemented-partial","1","/home/ubuntu/upload/meetings(6).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings.csv","meetings.csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(1).csv | /home/ubuntu/upload/meetings(2).csv | /home/ubuntu/upload/meetings.csv | /home/ubuntu/projects/website-db3e2312/meetings (1).csv | /home/ubuntu/projects/website-db3e2312/meetings (2).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/NA-South-Africa-Website-Review-August-2026.html","NA-South-Africa-Website-Review-August-2026.html","43064","99dc964a821bec485280a36fe28aca5d13b94c96e7ac60c32fa75a7a25286f92","audit-evidence","implemented","1","/home/ubuntu/upload/NA-South-Africa-Website-Review-August-2026.html","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/na-website-audit-findings.csv","na-website-audit-findings.csv","1988173","f41c70728ed3be227759f48b0ca486f98d9a2c453a28610541883577af0a6728","audit-evidence","implemented","1","/home/ubuntu/upload/na-website-audit-findings.csv","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/New Text Document (2).txt","New Text Document (2).txt","42841","8f26b14808d55537b8ee2f4b3247f2074f9bce391881d80e125589a7e7405f3b","supporting-source","reviewed","1","/home/ubuntu/upload/NewTextDocument(2).txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/New Text Document (4).txt","New Text Document (4).txt","102868","db500523c369867e06558459479db9a7376834371f5dffc05c7e501bfc1fdae8","supporting-source","reviewed","1","/home/ubuntu/upload/NewTextDocument(4).txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/New Text Document.txt","New Text Document.txt","126107","f351c8a5ca927c8f9652ad53feb6ea715bacf95e6475b68bfb53c7abda36de0f","supporting-source","reviewed","1","/home/ubuntu/upload/NewTextDocument.txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Scheduled maintenance checklist prompt request.txt","Scheduled maintenance checklist prompt request.txt","31315","394d80e6c51bd0cfc6856c724941f928ba9bac261037eee988191fd7804179a1","requirement","approval-dependent","0","","Scheduling is not part of the current public rebuild; requires an explicit organisation-approved automation request."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/uploads.zip","uploads.zip","206985562","ec442cc57bda2c80884f16844a7bc1212b2feb88f4367b4c22d87fddd475848a","media-source","implemented-partial","1","/home/ubuntu/upload/uploads.zip","Validated and uploaded through managed storage; approved area imagery still requires generation and intake."
"/home/ubuntu/upload","/home/ubuntu/upload/4.25x11_day-region-grouped_2026-08-15_directory.pdf","4.25x11_day-region-grouped_2026-08-15_directory.pdf","45027","60c521eeedf06e105ffeeb4bfa8102f5e5e0a0d42930853aa51dd7968962be80","source-data","implemented","0","","Parsed into directory and meeting QA evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/AreaSitePopulation.txt","AreaSitePopulation.txt","648","59d361f9e1b6354c84b66bf9e647dd9d3992fe4243772598d5339329ea6f25a6","requirement","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/Area Site Population.txt","Four dedicated area pages are implemented; approved generated hero images remain pending managed-storage intake."
"/home/ubuntu/upload","/home/ubuntu/upload/Audit_Report.html","Audit_Report.html","7678","bb2b8cdf4a63e815d0f20d0af69afedff7133cab4c1300487ac2dbfcfea92975","audit-evidence","implemented","1","/home/ubuntu/projects/website-db3e2312/Audit_Report.html","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/Executive_Summary_Email.md","Executive_Summary_Email.md","3630","e8fc298342efa59aa63092d10ac2d170fcd60dd134fb40e45a69678296123bfc","audit-evidence","implemented","1","/home/ubuntu/projects/website-db3e2312/Executive_Summary_Email.md","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/Extractthecolorpalette.txt","Extractthecolorpalette.txt","1086","98ad51007d5ab76e37b76a12a4dc9b6e32c32ee530fd9c3f71ee7cfb15f7caad","design-source","implemented","1","/home/ubuntu/projects/website-db3e2312/Extract the color palette.txt","Palette and typography alignment are implemented and regression-tested."
"/home/ubuntu/upload","/home/ubuntu/upload/files(1).zip","files(1).zip","497579","e2056a03c14ac9231c800202a9306ae23ca34eb04bf069a07ae4ebeb788c86c7","media-source","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/files (1).zip","Validated and uploaded through managed storage; approved area imagery still requires generation and intake."
"/home/ubuntu/upload","/home/ubuntu/upload/Full_Technical_Audit_Report.md","Full_Technical_Audit_Report.md","9778","d33935308d7165c78d9f208fdbb83a20a4d657c43e0934dcde536db3f397b595","audit-evidence","implemented","1","/home/ubuntu/projects/website-db3e2312/Full_Technical_Audit_Report.md","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings.csv","meetings.csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(1).csv | /home/ubuntu/upload/meetings(2).csv | /home/ubuntu/projects/website-db3e2312/meetings (1).csv | /home/ubuntu/projects/website-db3e2312/meetings (2).csv | /home/ubuntu/projects/website-db3e2312/meetings.csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(1).csv","meetings(1).csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(2).csv | /home/ubuntu/upload/meetings.csv | /home/ubuntu/projects/website-db3e2312/meetings (1).csv | /home/ubuntu/projects/website-db3e2312/meetings (2).csv | /home/ubuntu/projects/website-db3e2312/meetings.csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(2).csv","meetings(2).csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(1).csv | /home/ubuntu/upload/meetings.csv | /home/ubuntu/projects/website-db3e2312/meetings (1).csv | /home/ubuntu/projects/website-db3e2312/meetings (2).csv | /home/ubuntu/projects/website-db3e2312/meetings.csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(3).csv","meetings(3).csv","40253","e2241026b95713184bc5dc51175a73059e823bbe4c4efdcc0c438912a5024ef9","source-data","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/meetings (3).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(4).csv","meetings(4).csv","21613","de24955d8261b935bafd650c777dec016f48d1e27daec026ebb6d05e80649971","source-data","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/meetings (4).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(5).csv","meetings(5).csv","15917","c0d708af06358ae544833cc9da28b358ba5dc075b3bdbea64d2cda455f009a42","source-data","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/meetings (5).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/meetings(6).csv","meetings(6).csv","42079","f5e9fe4a7da2ee6baf4139ea08674ebf5f0bc1d794e06ac55c939587f1ded87e","source-data","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/meetings (6).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/upload","/home/ubuntu/upload/NA-South-Africa-Website-Review-August-2026.html","NA-South-Africa-Website-Review-August-2026.html","43064","99dc964a821bec485280a36fe28aca5d13b94c96e7ac60c32fa75a7a25286f92","audit-evidence","implemented","1","/home/ubuntu/projects/website-db3e2312/NA-South-Africa-Website-Review-August-2026.html","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/na-website-audit-findings.csv","na-website-audit-findings.csv","1988173","f41c70728ed3be227759f48b0ca486f98d9a2c453a28610541883577af0a6728","audit-evidence","implemented","1","/home/ubuntu/projects/website-db3e2312/na-website-audit-findings.csv","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/upload","/home/ubuntu/upload/na.org.za_tsml_meeting-sitemap.xml_1786824120915.md","na.org.za_tsml_meeting-sitemap.xml_1786824120915.md","28229","2eab6551d42aa1853ab2c0f7c1efd56f1e97bee2349f608fb3ff2a2bcc445cd9","supporting-source","reviewed","0","","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/upload","/home/ubuntu/upload/narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml","narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml","1488355","538c0eb3e6541e9a68d9d16c031b31c5386712a36f8fe5d544b344f4360f77ed","source-data","implemented-partial","0","","Parsed into migration evidence; regional pages remain draft-staged for review."
"/home/ubuntu/upload","/home/ubuntu/upload/narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml","narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml","842373","72d9939ff76cc98bee59edaa8a4713378b61975dfabed8777ad21a5b9cb2ea58","source-data","implemented-partial","0","","Parsed into migration evidence; regional pages remain draft-staged for review."
"/home/ubuntu/upload","/home/ubuntu/upload/narcoticsanonymouspretoria.WordPress.2026-08-16.xml","narcoticsanonymouspretoria.WordPress.2026-08-16.xml","745072","7ee2ad5d117a57b6c6fd633809675e3fef5d12c09526de0e161a0d4c225c6799","source-data","implemented-partial","0","","Parsed into migration evidence; regional pages remain draft-staged for review."
"/home/ubuntu/upload","/home/ubuntu/upload/narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml","narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml","3373566","63f0e5dc1b903a370dad6260e4b21cf29ec77012977927e2183b7f85faf64804","source-data","implemented-partial","0","","Parsed into migration evidence; regional pages remain draft-staged for review."
"/home/ubuntu/upload","/home/ubuntu/upload/narcoticsanonymouswesterncape.WordPress.2026-08-16.xml","narcoticsanonymouswesterncape.WordPress.2026-08-16.xml","2360347","b53275034da66b14574f82148352d9be144d6b9a0ced64bb83db9467e2e0d695","source-data","implemented-partial","0","","Parsed into migration evidence; regional pages remain draft-staged for review."
"/home/ubuntu/upload","/home/ubuntu/upload/NewTextDocument.txt","NewTextDocument.txt","126107","f351c8a5ca927c8f9652ad53feb6ea715bacf95e6475b68bfb53c7abda36de0f","supporting-source","reviewed","1","/home/ubuntu/projects/website-db3e2312/New Text Document.txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/upload","/home/ubuntu/upload/NewTextDocument(2).txt","NewTextDocument(2).txt","42841","8f26b14808d55537b8ee2f4b3247f2074f9bce391881d80e125589a7e7405f3b","supporting-source","reviewed","1","/home/ubuntu/projects/website-db3e2312/New Text Document (2).txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/upload","/home/ubuntu/upload/NewTextDocument(3).txt","NewTextDocument(3).txt","63353","3aedf89130536a08c5cb6629d40a6de02766a7d682873090e514da440aee78d2","supporting-source","reviewed","0","","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/upload","/home/ubuntu/upload/NewTextDocument(4).txt","NewTextDocument(4).txt","102868","db500523c369867e06558459479db9a7376834371f5dffc05c7e501bfc1fdae8","supporting-source","reviewed","1","/home/ubuntu/projects/website-db3e2312/New Text Document (4).txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/upload","/home/ubuntu/upload/pasted_file_NpqqfM_image.png","pasted_file_NpqqfM_image.png","259893","0d918e53e52e50805526a280abfc16f0445bd710ebbc73d0ddaf02ee2222a171","media-source","reviewed","0","","Available as supplied media; canonical managed-storage intake is controlled by the media manifest."
"/home/ubuntu/upload","/home/ubuntu/upload/uploads.zip","uploads.zip","206985562","ec442cc57bda2c80884f16844a7bc1212b2feb88f4367b4c22d87fddd475848a","media-source","implemented-partial","1","/home/ubuntu/projects/website-db3e2312/uploads.zip","Validated and uploaded through managed storage; approved area imagery still requires generation and intake."
