legacy_url,legacy_path,owning_area,audit_categories,highest_severity,sample_issues,planned_destination,migration_status,redirect_required
https://na.org.za/blog/locations/1607-kanya-rd-senaoane-soweto-1818-south-africa/,/blog/locations/1607-kanya-rd-senaoane-soweto-1818-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1607-kanya-road-and-umthwalume-street-senaone-mvezo-community-center/,/blog/locations/1607-kanya-road-and-umthwalume-street-senaone-mvezo-community-center/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/166-south-road-walkers-fruit-farms-2/,/blog/locations/166-south-road-walkers-fruit-farms-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/16b-penguin-dr-norscot-fourways-sandton-2055/,/blog/locations/16b-penguin-dr-norscot-fourways-sandton-2055/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/18-high-rd-orchards-johannesburg-2192/,/blog/locations/18-high-rd-orchards-johannesburg-2192/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/19027-somo-st-pretoria-0122-south-africa/,/blog/locations/19027-somo-st-pretoria-0122-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1954-peacock-str-lenasia-south-1827-2/,/blog/locations/1954-peacock-str-lenasia-south-1827-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1st-rosebank-air-scouts-hall/,/blog/locations/1st-rosebank-air-scouts-hall/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/2-diamant-st-toekomsrus-randfontein-1765-south-africa-2/,/blog/locations/2-diamant-st-toekomsrus-randfontein-1765-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/20a-7th-ave-parktown-north-johannesburg-2193-2/,/blog/locations/20a-7th-ave-parktown-north-johannesburg-2193-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/243-6th-ave-mid-ennerdale-johannesburg-1830-south-africa-2/,/blog/locations/243-6th-ave-mid-ennerdale-johannesburg-1830-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/25-vrede-street-fochville/,/blog/locations/25-vrede-street-fochville/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/253-bryanston-drive-2/,/blog/locations/253-bryanston-drive-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/27-george-ave-fairmount-johannesburg-2192-south-africa-2/,/blog/locations/27-george-ave-fairmount-johannesburg-2192-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/272-york-ave-ferndale-randburg-2194/,/blog/locations/272-york-ave-ferndale-randburg-2194/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/29-dippenaar-rd-noordheuwel-krugersdorp-1739-south-africa/,/blog/locations/29-dippenaar-rd-noordheuwel-krugersdorp-1739-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/31-richard-rd-kengies-sandton-2055/,/blog/locations/31-richard-rd-kengies-sandton-2055/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/3131-bolani-rd-zola-soweto-1878/,/blog/locations/3131-bolani-rd-zola-soweto-1878/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/33747-indaba-street-tsakane-2/,/blog/locations/33747-indaba-street-tsakane-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/3707b-molatedi-street-zone3-diepkloof/,/blog/locations/3707b-molatedi-street-zone3-diepkloof/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/3859-sebati-street-ext-1-vosloorus-1475-2/,/blog/locations/3859-sebati-street-ext-1-vosloorus-1475-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/386-e-bank-ave-alexandra-2014-south-africa-2/,/blog/locations/386-e-bank-ave-alexandra-2014-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/4-hoy-st-newclare-randburg-2/,/blog/locations/4-hoy-st-newclare-randburg-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/40-gaysingh-rd-northdale-pietermaritzburg-3201-south-africa/,/blog/locations/40-gaysingh-rd-northdale-pietermaritzburg-3201-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/41-pretoria-street-oaklands-2/,/blog/locations/41-pretoria-street-oaklands-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/420-york-ave-ferndale-randburg-2194-south-africa-2/,/blog/locations/420-york-ave-ferndale-randburg-2194-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/43-madeline-st-florida-roodepoort-1709/,/blog/locations/43-madeline-st-florida-roodepoort-1709/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/45-lily-ave-northcliff-randburg-2115-south-africa-2/,/blog/locations/45-lily-ave-northcliff-randburg-2115-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/5-suikerbos-street-lenasia-2/,/blog/locations/5-suikerbos-street-lenasia-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/50-saxon-rd-sandhurst-sandton-2196-south-africa/,/blog/locations/50-saxon-rd-sandhurst-sandton-2196-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/556-chester-street-lenasia-south-johannesburg/,/blog/locations/556-chester-street-lenasia-south-johannesburg/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/5634-unity-boulevard-ext-2-bram-fischerville/,/blog/locations/5634-unity-boulevard-ext-2-bram-fischerville/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/6-brink-st-bryanbrink-randburg-2194-johannesburg-south-africa-2/,/blog/locations/6-brink-st-bryanbrink-randburg-2194-johannesburg-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/65-foyle-ave-crosby-johannesburg-2092/,/blog/locations/65-foyle-ave-crosby-johannesburg-2092/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/67-nanyuki-rd-sunninghill-sandton-2157-south-africa-3/,/blog/locations/67-nanyuki-rd-sunninghill-sandton-2157-south-africa-3/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/68-6th-ave-edenvale-1609-south-africa/,/blog/locations/68-6th-ave-edenvale-1609-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/68-7th-ave-parktown-north-2/,/blog/locations/68-7th-ave-parktown-north-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/71-cr-swart-drboskruin-randburg-2188-2/,/blog/locations/71-cr-swart-drboskruin-randburg-2188-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/7644-eben-cuyler-dr-diepkloof-zone-1-diepmeadow-1862-south-africa-2/,/blog/locations/7644-eben-cuyler-dr-diepkloof-zone-1-diepmeadow-1862-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/8-marilyn-street-towerby-2190/,/blog/locations/8-marilyn-street-towerby-2190/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/827-elias-motsoaledi-road-moroka-soweto-1860/,/blog/locations/827-elias-motsoaledi-road-moroka-soweto-1860/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/86-buitekant-st-alabama-klerksdorp/,/blog/locations/86-buitekant-st-alabama-klerksdorp/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/90-abraham-st-mantervrede-ah-vanderbijlpark-1900/,/blog/locations/90-abraham-st-mantervrede-ah-vanderbijlpark-1900/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/92-voortrekker-ave-edenvale-1609-2/,/blog/locations/92-voortrekker-ave-edenvale-1609-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/929-leoatleng-street-central-western-jabavu-2/,/blog/locations/929-leoatleng-street-central-western-jabavu-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/akeso-crescent-clinic-president-fouche-dr-boskruin/,/blog/locations/akeso-crescent-clinic-president-fouche-dr-boskruin/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/alabama-grace-community-church/,/blog/locations/alabama-grace-community-church/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/alberton-civic-center-3rd-floor-alwyn-taljaard-ave-new-redruth-alberton-1449-south-africa-2/,/blog/locations/alberton-civic-center-3rd-floor-alwyn-taljaard-ave-new-redruth-alberton-1449-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/albertus-pop-recreation-centre/,/blog/locations/albertus-pop-recreation-centre/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/ballito-public-library/,/blog/locations/ballito-public-library/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/belverdere-community-centre/,/blog/locations/belverdere-community-centre/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/berachah-church/,/blog/locations/berachah-church/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
